_id,userInputs,userID,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone
5d1019a2f9af8b6656246709,"[{'userID': 431, 'milesRequested': 50, 'WhPerMile': 300, 'minutesAvailable': 238, 'modifiedAt': 'Fri, 07 Jun 2019 20:17:38 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 00:15:09 GMT', 'kWhRequested': 15.0}]",000000431,2_39_78_360_2019-06-07 20:17:08.653488,2-39-78-360,CA-322,0002,0039,"Fri, 07 Jun 2019 20:17:09 GMT","Sat, 08 Jun 2019 01:11:03 GMT",11.521,"Fri, 07 Jun 2019 22:18:59 GMT",America/Los_Angeles
5d1019a2f9af8b665624670a,"[{'userID': 1126, 'milesRequested': 80, 'WhPerMile': 250, 'minutesAvailable': 418, 'modifiedAt': 'Fri, 07 Jun 2019 21:03:37 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 03:58:24 GMT', 'kWhRequested': 20.0}]",000001126,2_39_79_383_2019-06-07 21:00:24.259239,2-39-79-383,CA-492,0002,0039,"Fri, 07 Jun 2019 21:00:24 GMT","Sat, 08 Jun 2019 01:18:31 GMT",2.813,"Fri, 07 Jun 2019 22:36:40 GMT",America/Los_Angeles
5d1019a2f9af8b665624670b,,,2_39_78_362_2019-06-07 22:41:30.576440,2-39-78-362,CA-496,0002,0039,"Fri, 07 Jun 2019 22:41:31 GMT","Fri, 07 Jun 2019 23:16:38 GMT",0.961,"Fri, 07 Jun 2019 23:17:36 GMT",America/Los_Angeles
5d1019a2f9af8b665624670c,"[{'userID': 1152, 'milesRequested': 50, 'WhPerMile': 300, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 07 Jun 2019 22:51:34 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 07 Jun 2019 23:50:13 GMT', 'kWhRequested': 15.0}]",000001152,2_39_127_19_2019-06-07 22:50:13.078217,2-39-127-19,CA-309,0002,0039,"Fri, 07 Jun 2019 22:50:13 GMT","Mon, 10 Jun 2019 01:15:36 GMT",14.882,"Sun, 09 Jun 2019 10:47:03 GMT",America/Los_Angeles
5d1019a2f9af8b665624670d,"[{'userID': 1746, 'milesRequested': 20, 'WhPerMile': 600, 'minutesAvailable': 66, 'modifiedAt': 'Sat, 08 Jun 2019 00:36:26 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 01:41:11 GMT', 'kWhRequested': 12.0}, {'userID': 1746, 'milesRequested': 20, 'WhPerMile': 600, 'minutesAvailable': 66, 'modifiedAt': 'Sat, 08 Jun 2019 00:51:45 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 01:41:11 GMT', 'kWhRequested': 12.0}]",000001746,2_39_78_366_2019-06-08 00:35:10.541193,2-39-78-366,CA-323,0002,0039,"Sat, 08 Jun 2019 00:35:11 GMT","Sat, 08 Jun 2019 00:51:59 GMT",0.881,"Sat, 08 Jun 2019 00:51:53 GMT",America/Los_Angeles
5d1019a2f9af8b665624670e,,,2_39_139_28_2019-06-08 01:34:59.751655,2-39-139-28,CA-303,0002,0039,"Sat, 08 Jun 2019 01:35:00 GMT","Sat, 08 Jun 2019 04:27:00 GMT",0.946,"Sat, 08 Jun 2019 02:05:15 GMT",America/Los_Angeles
5d1019a2f9af8b665624670f,,,2_39_131_30_2019-06-08 03:11:31.821207,2-39-131-30,CA-305,0002,0039,"Sat, 08 Jun 2019 03:11:32 GMT","Sat, 08 Jun 2019 04:44:25 GMT",0.869,"Sat, 08 Jun 2019 04:31:52 GMT",America/Los_Angeles
5d1019a2f9af8b6656246710,"[{'userID': 1161, 'milesRequested': 40, 'WhPerMile': 400, 'minutesAvailable': 71, 'modifiedAt': 'Sat, 08 Jun 2019 04:28:53 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 05:39:47 GMT', 'kWhRequested': 16.0}]",000001161,2_39_129_17_2019-06-08 04:28:46.786624,2-39-129-17,CA-307,0002,0039,"Sat, 08 Jun 2019 04:28:47 GMT","Sat, 08 Jun 2019 05:33:17 GMT",3.521,"Sat, 08 Jun 2019 05:33:13 GMT",America/Los_Angeles
5d116b0df9af8b6a29dc47f1,"[{'userID': 2404, 'milesRequested': 40, 'WhPerMile': 250, 'minutesAvailable': 175, 'modifiedAt': 'Sat, 08 Jun 2019 15:02:04 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 17:53:06 GMT', 'kWhRequested': 10.0}, {'userID': 2404, 'milesRequested': 40, 'WhPerMile': 250, 'minutesAvailable': 61, 'modifiedAt': 'Sat, 08 Jun 2019 15:04:08 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 15:59:06 GMT', 'kWhRequested': 10.0}]",000002404,2_39_139_28_2019-06-08 14:58:06.469599,2-39-139-28,CA-303,0002,0039,"Sat, 08 Jun 2019 14:58:06 GMT","Sat, 08 Jun 2019 18:55:59 GMT",9.869,"Sat, 08 Jun 2019 18:00:13 GMT",America/Los_Angeles
5d116b0df9af8b6a29dc47f2,"[{'userID': 743, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 63, 'modifiedAt': 'Sat, 08 Jun 2019 15:51:45 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 16:52:16 GMT', 'kWhRequested': 8.0}, {'userID': 743, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 98, 'modifiedAt': 'Sat, 08 Jun 2019 16:50:36 GMT', 'paymentRequired': True, 'requestedDeparture': 'Sat, 08 Jun 2019 17:27:16 GMT', 'kWhRequested': 8.0}]",000000743,2_39_89_25_2019-06-08 15:49:15.983025,2-39-89-25,CA-315,0002,0039,"Sat, 08 Jun 2019 15:49:16 GMT","Sat, 08 Jun 2019 17:20:14 GMT",3.718,"Sat, 08 Jun 2019 17:05:18 GMT",America/Los_Angeles
