time,G(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,3.85,2.21,0.0
20180101:0110,0.0,0.0,2.84,2.07,0.0
20180101:0210,0.0,0.0,2.01,1.93,0.0
20180101:0310,0.0,0.0,1.16,1.79,0.0
20180101:0410,0.0,0.0,0.42,1.86,0.0
20180101:0510,0.0,0.0,-0.15,1.86,0.0
20180101:0610,0.0,0.0,-0.54,1.72,0.0
20180101:0710,0.0,0.0,0.28,1.31,0.0
20180101:0810,155.23,4.34,-0.2,1.45,0.0
20180101:0910,396.99,12.98,1.17,1.45,0.0
20180101:1010,618.47,19.94,4.81,2.07,0.0
20180101:1110,641.16,24.64,6.87,2.62,0.0
20180101:1210,750.68,26.56,8.64,3.31,0.0
20180101:1310,698.25,25.44,9.82,3.79,0.0
20180101:1410,199.91,21.43,10.41,4.07,0.0
20180101:1510,400.43,15.02,10.6,4.14,0.0
20180101:1610,84.76,6.78,10.03,3.79,0.0
20180101:1710,0.0,0.0,9.13,3.59,0.0
20180101:1810,0.0,0.0,8.57,3.66,0.0
20180101:1910,0.0,0.0,8.35,3.72,0.0
20180101:2010,0.0,0.0,7.69,3.45,0.0
20180101:2110,0.0,0.0,7.3,3.45,0.0
20180101:2210,0.0,0.0,7.21,3.31,0.0
20180101:2310,0.0,0.0,6.92,3.17,0.0
20180102:0010,0.0,0.0,6.75,3.1,0.0
20180102:0110,0.0,0.0,6.35,2.97,0.0
20180102:0210,0.0,0.0,6.02,2.55,0.0
20180102:0310,0.0,0.0,5.71,2.07,0.0
20180102:0410,0.0,0.0,5.29,1.79,0.0
20180102:0510,0.0,0.0,5.04,1.86,0.0
20180102:0610,0.0,0.0,4.85,1.86,0.0
20180102:0710,0.0,0.0,4.43,1.93,0.0
20180102:0810,26.19,4.34,3.89,1.93,0.0
20180102:0910,152.84,12.99,5.12,1.86,0.0
20180102:1010,687.79,19.97,7.54,2.41,0.0
20180102:1110,788.36,24.7,9.36,2.69,0.0
20180102:1210,790.94,26.64,10.56,3.03,0.0
20180102:1310,786.56,25.54,11.57,3.24,0.0
20180102:1410,448.09,21.55,12.42,3.17,0.0
20180102:1510,305.19,15.15,12.64,3.03,0.0
20180102:1610,247.7,6.91,12.28,2.62,0.0
20180102:1710,0.0,0.0,11.26,2.48,0.0
20180102:1810,0.0,0.0,10.55,2.48,0.0
20180102:1910,0.0,0.0,10.06,2.55,0.0
20180102:2010,0.0,0.0,9.6,2.55,0.0
20180102:2110,0.0,0.0,9.39,2.48,0.0
20180102:2210,0.0,0.0,9.04,2.48,0.0
20180102:2310,0.0,0.0,8.85,2.48,0.0
